pair,phase,measure,d,ci_low,ci_high
Owl / /u/,mimic,f0_mean,0.7766017274817578,0.21448939482529136,1.4177762723049343
Owl / /u/,mimic,f0_sd,-0.06706633148643645,-0.6348923569949304,0.5012556858368531
Owl / /u/,mimic,jitter_local,-1.0759648319554835,-1.9871905566029153,-0.4852469583866491
Owl / /u/,mimic,shimmer_local,-0.7993601251472081,-1.501398366768152,-0.250509753677712
Owl / /u/,mimic,shimmer_dB,-2.1264240083706656,-3.123087001974676,-1.5569515530720157
Owl / /u/,mimic,hnr_mean,0.881448590196517,0.3151937800199133,1.629843947448332
Owl / /u/,mimic,intensity_mean_calibrated,2.565524928097172,1.701908141177173,4.270999053522792
Owl / /u/,mimic,cog,-0.3242013771773585,-0.9177648922651072,0.23031681139816856
Owl / /u/,mimic,spectral_sd,-0.9598797091557806,-1.6308159276089265,-0.40644192322934064
Owl / /u/,mimic,skewness,0.21731737629137002,-0.5146248728587136,0.618883950138739
Owl / /u/,mimic,kurtosis,0.35255389364656486,-0.19440058568859425,0.6702160161778405
Owl / /u/,mimic,cpps,0.2673728470735061,-0.23900087776391354,1.0990438367888877
Owl / /u/,mimic,h1_h2,0.4886749412905258,-0.07190179360336922,1.1557301839829706
Owl / /u/,mimic,f1,-0.7713200614141914,-1.4282245974300756,-0.23835266477160438
Owl / /u/,mimic,f2,-0.8466138022745209,-1.4569781668997173,-0.32987093539208856
Owl / /u/,mimic,alpha_ratio,0.12778479817724994,-0.4275092952970935,0.7477494359318259
Owl / /u/,mimic,lh_ratio,0.7877481629890042,0.06466989890940401,1.7449211186595606
Owl / /u/,mimic,ltas_slope,-0.5469048733443486,-1.2005458529261495,0.011734673779743564
Owl / /u/,mimic,ltas_tilt,-0.3326971121463413,-0.9925631735902017,0.21987073121609255
Owl / /u/,exercise,f0_mean,0.8795383227670843,0.313883977103711,1.6725572599836234
Owl / /u/,exercise,f0_sd,0.4047858039755966,-0.12712304082613624,1.046793931075216
