exercise_num,exercise_label,stage,measure,mean_A,mean_B,mean_diff,sd_diff,d_paired,t_stat,p_value,n,pitch_target,comparison
1,Ex 1 (Owl / /u/),exercise,f0_mean,595.8782666666666,590.3244000000001,5.553866666666591,7.250124097022147,0.7660374625791215,1.7129118396383671,0.1618877911154581,5,,
1,Ex 1 (Owl / /u/),exercise,jitter_local,0.0014068733333333333,0.00156342,-0.0001565466666666667,0.00037786692881077724,-0.41429046770340644,-0.9263816482149981,0.40668106233240836,5,,
1,Ex 1 (Owl / /u/),exercise,shimmer_dB,0.09012866666666666,0.08750600000000001,0.0026226666666666594,0.013609662702980148,0.19270622085971068,0.43090420952940106,0.6887428870032675,5,,
1,Ex 1 (Owl / /u/),exercise,hnr_mean,32.92993333333334,33.7081,-0.7781666666666688,1.286306685393843,-0.6049620012885253,-1.3527361586854578,0.24754950681418436,5,,
1,Ex 1 (Owl / /u/),exercise,spectral_sd,237.13813333333331,231.51170000000002,5.62643333333329,54.36378867505058,0.10349597536264898,0.23142403630852657,0.8283417558284869,5,,
1,Ex 1 (Owl / /u/),exercise,intensity_mean_calibrated,105.45393333333334,103.71700000000001,1.7369333333333288,4.551476154929174,0.3816197809697978,0.8533277718070486,0.4415640905952502,5,,
1,Ex 1 (Owl / /u/),exercise,cpps,21.208508666666667,21.387884,-0.17937533333333278,1.32815639966668,-0.1350558815048812,-0.30199413180607093,0.7777072710540096,5,,
1,Ex 1 (Owl / /u/),exercise,h1_h2,8.912308,9.753872,-0.8415639999999998,4.668313779843853,-0.1802715155167116,-0.4030993631022753,0.7074914180074308,5,,
2,Ex 2 (Cat / /ae/),exercise,f0_mean,423.93140000000005,423.73490000000004,0.19650000000000317,10.007154727993383,0.01963595101116269,0.0439073212638155,0.967082728433467,5,,
2,Ex 2 (Cat / /ae/),exercise,jitter_local,0.00390587,0.004773009999999999,-0.0008671399999999998,0.0025302699651914614,-0.34270651429654253,-0.7663150622990726,0.4862122467915443,5,,
2,Ex 2 (Cat / /ae/),exercise,shimmer_dB,0.24406699999999998,0.267597,-0.023530000000000002,0.09474527844436363,-0.24835010658412177,-0.5553277205414143,0.6082622124573849,5,,
2,Ex 2 (Cat / /ae/),exercise,hnr_mean,20.6293,21.152499999999996,-0.5231999999999986,0.22955897934953767,-2.279152841167449,-5.096340683962198,0.007000431794673855,5,,
2,Ex 2 (Cat / /ae/),exercise,spectral_sd,568.4703000000001,393.8233,174.64700000000005,47.03291884813235,3.7132928229253452,8.303175172423161,0.0011489570578258144,5,,
2,Ex 2 (Cat / /ae/),exercise,intensity_mean_calibrated,98.7945,100.89829999999999,-2.1037999999999952,2.932875436325245,-0.7173165194618554,-1.6039684989002594,0.18398710564076198,5,,
2,Ex 2 (Cat / /ae/),exercise,cpps,23.771197,23.369136000000005,0.40206099999999906,1.2199664609754663,0.32956725685599364,0.7369347894881354,0.5020493988470983,5,,
2,Ex 2 (Cat / /ae/),exercise,h1_h2,-3.3727940000000003,-4.794903,1.422109,3.3474508129851577,0.4248334268224259,0.9499564214891268,0.3959269129419363,5,,
3,Ex 3 (Cow / /a/),exercise,f0_mean,413.69750000000005,472.06080000000003,-58.363299999999995,112.97713608270483,-0.5165939058437026,-1.155139090228645,0.3123398111526629,5,,
3,Ex 3 (Cow / /a/),exercise,jitter_local,0.01722091,0.02487988,-0.007658970000000001,0.005469412598899448,-1.4003277064050963,-3.131227942298163,0.03514360414405428,5,,
3,Ex 3 (Cow / /a/),exercise,shimmer_dB,0.7427819999999999,1.054132,-0.31135,0.17900314463019912,-1.7393549182793129,-3.8893158342711356,0.01770087001359907,5,,
3,Ex 3 (Cow / /a/),exercise,hnr_mean,16.815800000000003,12.2792,4.536600000000002,6.099191600122101,0.7438034902706094,1.6631951661466862,0.17160685976756926,5,,
3,Ex 3 (Cow / /a/),exercise,spectral_sd,248.6962,319.4028,-70.70660000000001,50.72945655804917,-1.393797702506259,-3.1166264096870235,0.035642665911914714,5,,
3,Ex 3 (Cow / /a/),exercise,intensity_mean_calibrated,89.66420000000001,89.4844,0.17980000000000587,4.00842889421778,0.0448554794771014,0.10029990127414545,0.9249323188271277,5,,
3,Ex 3 (Cow / /a/),exercise,cpps,21.460516000000002,20.999776,0.4607399999999998,1.891617253796998,0.24356935795291962,0.5446376416187073,0.614944013541556,5,,
3,Ex 3 (Cow / /a/),exercise,h1_h2,9.504326,1.9840439999999997,7.520282,10.152111118167493,0.7407604105654675,1.6563906330650389,0.17298394685935983,5,,
1,Ex 1 (Owl / /u/),somewhere_some,f0_mean,260.704,258.88800000000003,1.8160000000000025,,0.28872946489017076,,0.5536956362716032,5,some,raw
1,Ex 1 (Owl / /u/),somewhere_some,f0_mean,1.9839999999999918,0.5340000000000031,1.4499999999999886,,0.26338246342527266,,,5,some,change_from_baseline
1,Ex 1 (Owl / /u/),somewhere_some,jitter_local,0.0029898,0.0023669999999999997,0.0006228,,0.9966322013454386,,0.08975659837299033,5,some,raw
1,Ex 1 (Owl / /u/),somewhere_some,jitter_local,9.900000000000005e-05,-0.000312,0.00041100000000000007,,0.46280291811895646,,,5,some,change_from_baseline
1,Ex 1 (Owl / /u/),somewhere_some,shimmer_dB,0.18342,0.19713999999999998,-0.01372,,-0.11058971490818761,,0.8168608521937983,5,some,raw
1,Ex 1 (Owl / /u/),somewhere_some,shimmer_dB,-0.05045999999999999,-0.031059999999999997,-0.019400000000000004,,-0.13309088776343067,,,5,some,change_from_baseline
1,Ex 1 (Owl / /u/),somewhere_some,hnr_mean,23.494,23.778000000000002,-0.28399999999999964,,-0.06532598161872144,,0.8909292904357677,5,some,raw
1,Ex 1 (Owl / /u/),somewhere_some,hnr_mean,0.5720000000000006,0.048000000000000397,0.5240000000000002,,0.16153132506720153,,,5,some,change_from_baseline
