participant,exercise_num,exercise_label,session,condition,stage,stage_order,n_tokens,f0_mean,jitter_local,shimmer_dB,hnr_mean,spectral_sd,intensity_mean_calibrated,cpps,h1_h2
P2,1,Ex 1 (Owl / /u/),A,animal,baseline_some,-1,1,261.14,0.002907,0.1449,24.71,380.65,91.84,25.3024,2.4886
P2,1,Ex 1 (Owl / /u/),A,animal,baseline_where,-1,1,517.9,0.006214,0.5437,19.29,549.34,92.88,20.3169,-0.3956
P2,1,Ex 1 (Owl / /u/),B,human,mimic,0,5,559.54,0.0031348,0.18066,25.334,204.202,85.344,17.7097,11.446760000000001
P2,1,Ex 1 (Owl / /u/),B,human,exercise,1,5,603.386,0.001586,0.09162000000000001,32.55800000000001,205.586,102.724,23.0096,11.49252
P2,1,Ex 1 (Owl / /u/),B,human,somewhere_some,2,1,266.03,0.001702,0.122,25.74,344.05,94.42,26.3914,5.8693
P2,1,Ex 1 (Owl / /u/),B,human,somewhere_where,2,1,536.16,0.006637,0.2591,23.79,502.0,98.64,23.8592,0.1173
P2,1,Ex 1 (Owl / /u/),B,human,baseline_some,-1,1,260.08,0.002007,0.1495,26.63,382.44,95.1,26.4576,4.2617
P2,1,Ex 1 (Owl / /u/),B,human,baseline_where,-1,1,517.77,0.003755,0.2054,23.14,413.16,100.56,20.81,-0.3029
P2,2,Ex 2 (Cat / /ae/),A,animal,mimic,0,5,396.87,0.0117876,0.49138000000000004,10.82,1066.1519999999998,87.25000000000001,20.060499999999998,5.64114
P2,2,Ex 2 (Cat / /ae/),A,animal,exercise,1,5,422.6,0.0062308,0.35544000000000003,16.788,584.4300000000001,95.97800000000001,22.06478,-5.2735
P2,2,Ex 2 (Cat / /ae/),A,animal,somewhere_some,2,1,261.32,0.006515,0.1461,21.26,346.13,97.26,22.7147,3.3211
P2,2,Ex 2 (Cat / /ae/),A,animal,somewhere_where,2,1,527.3,0.008147,0.4405,18.44,606.91,99.32,21.0292,5.5151
P2,2,Ex 2 (Cat / /ae/),A,animal,baseline_some,-1,1,261.14,0.002907,0.1449,24.71,380.65,91.84,25.3024,2.4886
P2,2,Ex 2 (Cat / /ae/),A,animal,baseline_where,-1,1,517.9,0.006214,0.5437,19.29,549.34,92.88,20.3169,-0.3956
P2,2,Ex 2 (Cat / /ae/),B,human,mimic,0,5,356.28600000000006,0.0073394,0.4422,14.190000000000001,481.83600000000007,90.088,20.659879999999998,-9.85068
