participant,session,condition,pitch_target,segment_type,preceding_exercise,temporal_position,cumulative_blocks,f0_mean_baseline,f0_mean_post,f0_mean_change,f0_sd_baseline,f0_sd_post,f0_sd_change,jitter_local_baseline,jitter_local_post,jitter_local_change,shimmer_local_baseline,shimmer_local_post,shimmer_local_change,shimmer_dB_baseline,shimmer_dB_post,shimmer_dB_change,hnr_mean_baseline,hnr_mean_post,hnr_mean_change,intensity_mean_calibrated_baseline,intensity_mean_calibrated_post,intensity_mean_calibrated_change,cog_baseline,cog_post,cog_change,spectral_sd_baseline,spectral_sd_post,spectral_sd_change,skewness_baseline,skewness_post,skewness_change,kurtosis_baseline,kurtosis_post,kurtosis_change
P3,A,animal,some,somewhere_post_ex2,cat/ae,1,1,256.19,258.82,2.6299999999999955,7.14,7.52,0.3799999999999999,0.002856,0.001906,-0.0009500000000000001,0.034017,0.022456,-0.011560999999999998,0.3377,0.2643,-0.07340000000000002,22.13,24.29,2.16,96.66,97.11,0.45000000000000284,659.92,717.25,57.33000000000004,432.36,366.66,-65.69999999999999,8.5316,7.4316,-1.0999999999999988,228.2917,254.6018,26.310100000000006
P3,A,animal,some,somewhere_post_ex3,cow/a,2,2,256.19,259.11,2.920000000000016,7.14,2.17,-4.97,0.002856,0.001722,-0.001134,0.034017,0.027197,-0.00682,0.3377,0.3172,-0.020500000000000018,22.13,25.09,2.960000000000001,96.66,97.58,0.9200000000000017,659.92,678.03,18.110000000000014,432.36,364.87,-67.49000000000001,8.5316,9.642,1.1104000000000003,228.2917,300.9524,72.66070000000002
P3,A,animal,some,somewhere_post_ex1,owl/u,3,3,256.19,255.81,-0.37999999999999545,7.14,2.85,-4.289999999999999,0.002856,0.002205,-0.0006510000000000001,0.034017,0.018481,-0.015535999999999998,0.3377,0.1608,-0.1769,22.13,24.26,2.1300000000000026,96.66,95.33,-1.3299999999999983,659.92,630.17,-29.75,432.36,418.38,-13.980000000000018,8.5316,9.6089,1.077300000000001,228.2917,280.5958,52.304100000000005
P3,B,human,some,somewhere_post_ex3,cow/a,1,1,258.09,262.31,4.220000000000027,4.83,6.05,1.2199999999999998,0.001726,0.001321,-0.0004050000000000002,0.024245,0.021498,-0.0027469999999999994,0.2869,0.2652,-0.021699999999999997,25.16,26.78,1.620000000000001,97.07,98.69,1.6200000000000045,673.9,682.03,8.129999999999995,402.79,383.26,-19.53000000000003,6.8628,9.4236,2.5608000000000004,220.1755,304.7345,84.55900000000003
P3,B,human,some,somewhere_post_ex1,owl/u,2,2,258.09,256.24,-1.849999999999966,4.83,2.17,-2.66,0.001726,0.001812,8.599999999999992e-05,0.024245,0.021643,-0.002602,0.2869,0.2961,0.009199999999999986,25.16,25.64,0.4800000000000004,97.07,96.58,-0.4899999999999949,673.9,698.76,24.860000000000014,402.79,379.29,-23.5,6.8628,6.4107,-0.4520999999999997,220.1755,242.0087,21.833200000000005
P3,B,human,some,somewhere_post_ex2,cat/ae,3,3,258.09,255.91,-2.1799999999999784,4.83,3.95,-0.8799999999999999,0.001726,0.002814,0.001088,0.024245,0.025329,0.0010840000000000016,0.2869,0.2594,-0.02749999999999997,25.16,24.99,-0.1700000000000017,97.07,99.86,2.7900000000000063,673.9,665.55,-8.350000000000023,402.79,374.59,-28.200000000000045,6.8628,6.24,-0.6227999999999998,220.1755,205.4843,-14.69120000000001
P4,A,animal,some,somewhere_post_ex3,cow/a,1,1,257.19,258.11,0.9200000000000159,3.01,2.96,-0.04999999999999982,0.002526,0.001719,-0.000807,0.030153,0.019085,-0.011067999999999998,0.3348,0.1682,-0.1666,23.38,24.66,1.2800000000000011,97.29,97.68,0.39000000000000057,643.97,629.3,-14.670000000000073,341.94,340.83,-1.1100000000000136,6.3696,10.5081,4.1385000000000005,224.5655,359.1113,134.54580000000004
P4,A,animal,some,somewhere_post_ex1,owl/u,2,2,257.19,261.59,4.399999999999977,3.01,3.45,0.4400000000000004,0.002526,0.002722,0.000196,0.030153,0.016365,-0.013787999999999998,0.3348,0.1424,-0.1924,23.38,26.64,3.2600000000000016,97.29,90.8,-6.490000000000009,643.97,478.44,-165.53000000000003,341.94,345.33,3.3899999999999864,6.3696,11.4955,5.1259,224.5655,484.5777,260.0122
P4,A,animal,some,somewhere_post_ex2,cat/ae,3,3,257.19,254.01,-3.180000000000007,3.01,2.71,-0.2999999999999998,0.002526,0.002868,0.00034199999999999986,0.030153,0.025326,-0.004826999999999998,0.3348,0.2803,-0.05449999999999999,23.38,23.51,0.13000000000000256,97.29,96.36,-0.9300000000000068,643.97,654.59,10.620000000000005,341.94,348.64,6.699999999999989,6.3696,6.4142,0.04459999999999997,224.5655,229.0024,4.4369000000000085
P4,B,human,some,somewhere_post_ex1,owl/u,1,1,254.97,248.91,-6.060000000000002,3.68,5.28,1.6,0.002768,0.002496,-0.0002720000000000001,0.035667,0.027785,-0.007881999999999997,0.3164,0.2906,-0.02579999999999999,21.38,19.26,-2.1199999999999974,105.09,101.81,-3.280000000000001,704.56,789.33,84.7700000000001,338.68,316.77,-21.910000000000025,8.0938,7.769,-0.32479999999999976,280.1473,338.2154,58.068100000000015
P4,B,human,some,somewhere_post_ex2,cat/ae,2,2,254.97,252.77,-2.1999999999999886,3.68,3.01,-0.6700000000000004,0.002768,0.001953,-0.000815,0.035667,0.021514,-0.014152999999999999,0.3164,0.2895,-0.026900000000000035,21.38,22.45,1.0700000000000003,105.09,107.3,2.2099999999999937,704.56,834.3,129.74,338.68,321.49,-17.189999999999998,8.0938,4.3441,-3.7497,280.1473,133.5111,-146.63619999999997
